Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
000,241,2924,189,31,1,189.0,26.0,241.0,2926.0,0.0,0.0,0.0,0.0,
000,430,2924,75,35,1,59.0,18.0,446.0,2932.0,0.0,0.0,0.0,0.0,
001,241,2926,189,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,446,2932,59,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
005,193,2959,221,200,1,221.0,200.0,193.0,2959.0,0.0,0.0,0.0,0.0,
006,193,2959,221,200,1,221.0,200.0,193.0,2959.0,0.0,0.0,0.0,0.0,
007,193,2959,221,200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
009,424,2959,160,200,1,160.0,200.0,424.0,2959.0,0.0,0.0,0.0,0.0,
010,424,2959,160,200,1,160.0,200.0,424.0,2959.0,0.0,0.0,0.0,0.0,
011,424,2959,160,200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,594,2959,182,200,1,182.0,200.0,594.0,2959.0,0.0,0.0,0.0,0.0,
014,594,2959,182,200,1,182.0,200.0,594.0,2959.0,0.0,0.0,0.0,0.0,
015,594,2959,182,200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
017,956,2959,145,200,1,117.0,200.0,970.0,2959.0,0.0,0.0,0.0,0.0,
018,970,2959,117,200,1,117.0,200.0,970.0,2959.0,0.0,0.0,0.0,0.0,
019,970,2959,117,200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
021,1111,2961,270,196,1,270.0,196.0,1111.0,2961.0,0.0,0.0,0.0,0.0,
022,1111,2961,270,196,1,270.0,196.0,1111.0,2961.0,0.0,0.0,0.0,0.0,
023,1111,2961,270,196,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
025,1391,2968,270,182,1,270.0,182.0,1391.0,2968.0,0.0,0.0,0.0,0.0,
025,1436,3121,180,31,1,178.0,29.0,1437.0,3122.0,0.0,0.0,0.0,0.0,
026,1391,2968,270,182,1,270.0,182.0,1391.0,2968.0,0.0,0.0,0.0,0.0,
027,1391,2968,270,182,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
029,0,2109,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
