Widget number,Position X,Position Y,Width,Height,Table tag,List tag,Textbox tag,Widget class,Number of Elements,Number of Child Nodes,numberOfWordsTextNodes,numberOfTextNodes,links80percent,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
002,0,0,1881,19,0,0,0,0,0,0,34,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,1903,925,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,300,154,0,0,0,0,59,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,1903,4579,0,0,0,0,0,0,2062,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,1903,76,0,0,0,0,0,0,26,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,43,19,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,350,150,0,0,0,0,4,2,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,192,41,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,1527,72,48,37,0,0,0,1,6,2,7,2,0,206.5,80.5,1364.5,104.0,224.15284963613556,61.518289963229634,229.80970388562795,45.254833995939045,
002,1202,136,365,124,0,0,0,1,1,1,4,1,0,365.0,124.0,1202.0,136.0,0.0,0.0,0.0,0.0,
002,1202,136,365,124,0,0,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,311,133,1280,43,0,1,0,1,1839,2,4154,3359,0,640.0,43.0,439.0,133.0,543.0580079512685,0.0,181.01933598375618,0.0,
002,311,133,256,43,0,1,0,1,1815,1,4099,3317,0,245.0,43.0,311.0,133.0,0.0,0.0,0.0,0.0,
002,311,133,245,43,0,1,0,1,1814,1,4099,3317,0,245.0,43.0,311.0,133.0,0.0,0.0,0.0,0.0,
002,311,133,245,43,0,1,0,1,1813,2,4099,3317,0,245.0,296.0,311.0,133.0,0.0,353.5533905932738,0.0,0.0,
002,311,133,245,46,0,0,0,0,5,3,5,2,0,81.33333333333333,14.0,387.3333333333333,146.66666666666666,114.15924550089377,14.422205101855956,121.96857518776439,11.930353445448855,
002,323,155,21,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,311,133,213,30,0,0,0,0,0,0,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,311,133,245,546,0,1,0,1,1806,1,4094,3315,0,245.0,493.0,311.0,186.0,0.0,0.0,0.0,0.0,
