Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
001,331,583,187,81,1,187.0,81.0,331.0,583.0,0.0,0.0,0.0,0.0,
001,331,676,187,40,1,187.0,40.0,331.0,676.0,0.0,0.0,0.0,0.0,
002,331,583,187,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
004,331,676,187,40,1,187.0,40.0,331.0,676.0,0.0,0.0,0.0,0.0,
005,331,676,187,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
007,541,676,187,40,1,187.0,40.0,541.0,676.0,0.0,0.0,0.0,0.0,
008,541,676,187,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010,752,583,187,81,1,187.0,81.0,752.0,583.0,0.0,0.0,0.0,0.0,
010,752,676,187,40,1,187.0,40.0,752.0,676.0,0.0,0.0,0.0,0.0,
011,752,583,187,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,752,676,187,40,1,187.0,40.0,752.0,676.0,0.0,0.0,0.0,0.0,
014,752,676,187,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
016,331,764,609,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
017,319,764,633,0,6,105.33333333333333,97.0,264.6666666666667,400.5,115.38746321271937,106.25817615600224,319.0333315919618,398.1942993062558,
018,319,764,211,194,1,187.0,194.0,331.0,764.0,0.0,0.0,0.0,0.0,
018,0,37,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
018,529,764,211,194,1,187.0,194.0,541.0,764.0,0.0,0.0,0.0,0.0,
018,0,37,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
018,740,764,210,194,1,187.0,194.0,752.0,764.0,0.0,0.0,0.0,0.0,
018,0,37,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
019,331,764,187,194,2,187.0,93.0,331.0,820.5,0.0,16.97056274847714,0.0,79.90306627407988,
020,331,764,187,105,6,31.166666666666668,17.5,331.0,807.3333333333334,76.3424303167424,42.86607049870562,0.0,21.22891110412088,
020,331,877,187,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
021,331,816,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
021,331,816,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
021,331,816,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
021,331,816,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
021,331,816,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
021,331,764,187,105,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
024,541,764,187,194,2,187.0,93.0,541.0,820.5,0.0,16.97056274847714,0.0,79.90306627407988,
025,541,764,187,105,6,31.166666666666668,17.5,541.0,807.3333333333334,76.3424303167424,42.86607049870562,0.0,21.22891110412088,
025,541,877,187,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
026,541,816,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
026,541,816,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
026,541,816,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
026,541,816,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
026,541,816,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
026,541,764,187,105,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
