Widget number,Position X,Position Y,Width,Height,Table tag,List tag,Textbox tag,Widget class,Number of Elements,Number of Child Nodes,numberOfWordsTextNodes,numberOfTextNodes,links80percent,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
001,0,0,1903,7159,1,1,1,1,3253,14,7886,1057,0,393.57142857142856,553.5714285714286,0.0,0.0,722.4981995490705,1905.4622582414006,0.0,0.0,
001,0,0,1903,7159,1,1,1,1,3222,5,5108,1045,0,1395.0,1419.4,63.8,2389.2,826.7901789450574,2464.885960850928,142.66113696448656,3215.347368481359,
001,0,0,1903,104,0,1,1,1,1067,1,2855,635,0,1265.0,53.0,319.0,25.0,0.0,0.0,0.0,0.0,
001,319,25,1265,53,0,1,1,1,1066,1,2855,635,0,1265.0,53.0,319.0,25.0,0.0,0.0,0.0,0.0,
001,319,25,1265,53,0,1,1,1,1065,4,2855,635,0,538.5,23.25,452.5,24.75,518.6369957237271,20.05617112013158,424.02083282153325,17.44276354251241,
002,0,0,13,13,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,28,28,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,1,18,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,1045,18,0,0,0,0,0,0,40,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,1903,72,0,0,0,0,0,0,32,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,232,18,0,0,0,0,0,0,15,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,1272,18,0,0,0,0,0,0,84,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,200,483,0,1,0,1,4,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,0,0,0,0,0,0,13,7,2640,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,1018,37,554,40,0,1,1,1,39,4,56,15,0,141.5,34.0,953.0,26.75,130.92873379565438,5.887840577551898,670.5112477306651,17.93274472392147,
003,1018,37,234,30,0,1,0,0,26,3,55,14,0,78.0,10.0,339.3333333333333,12.333333333333334,135.09996299037243,17.320508075688775,587.7425740350391,21.36195996001615,
003,1018,37,234,30,0,0,0,0,21,4,55,14,0,70.0,32.0,821.25,27.75,16.06237840420901,4.0,551.5090661086181,18.5,
003,1018,37,69,30,0,0,0,0,2,2,2,1,0,55.0,16.5,1025.0,45.0,0.0,23.33452377915607,0.0,2.8284271247461903,
003,1025,47,55,33,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,1087,37,93,30,0,0,0,0,2,2,2,1,0,79.0,16.5,1094.0,45.0,0.0,23.33452377915607,0.0,2.8284271247461903,
003,1094,47,79,33,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,1180,37,60,30,0,0,0,0,8,2,47,9,0,93.0,51.5,1188.5,62.0,66.46803743153546,26.16295090390226,2.1213203435596424,21.213203435596427,
