Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
000,928,419,6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,948,419,6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,968,419,6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
004,1379,3154,170,340,2,169.5,169.5,1379.0,3239.0,0.7071067811865476,0.7071067811865476,0.0,120.20815280171308,
005,1379,3154,170,170,2,95.0,32.5,1416.5,3229.5,72.12489168102785,16.263455967290593,36.062445840513924,41.71930009000631,
005,1379,3324,169,169,2,95.0,43.0,1416.5,3399.5,72.12489168102785,1.4142135623730951,36.062445840513924,41.71930009000631,
006,1442,3200,44,44,1,48.0,48.0,1442.0,3200.0,0.0,0.0,0.0,0.0,
006,1391,3259,146,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
008,1442,3370,44,44,1,48.0,48.0,1442.0,3370.0,0.0,0.0,0.0,0.0,
008,1391,3429,146,42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
