Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
000,0,234,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,1,464,95,168,6,95.0,27.0,1.0,534.0,0.0,0.0,0.0,52.38320341483518,
004,1,464,95,27,1,6.0,27.0,16.0,464.0,0.0,0.0,0.0,0.0,
004,1,492,95,27,1,6.0,27.0,16.0,492.0,0.0,0.0,0.0,0.0,
004,1,520,95,27,1,80.0,27.0,16.0,520.0,0.0,0.0,0.0,0.0,
004,1,548,95,27,1,6.0,27.0,16.0,548.0,0.0,0.0,0.0,0.0,
004,1,576,95,27,1,6.0,27.0,16.0,576.0,0.0,0.0,0.0,0.0,
004,1,604,95,27,1,6.0,27.0,16.0,604.0,0.0,0.0,0.0,0.0,
005,16,464,6,27,1,80.0,27.0,16.0,464.0,0.0,0.0,0.0,0.0,
006,16,464,80,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
008,16,492,80,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010,16,520,80,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
