Widget number,Position X,Position Y,Width,Height,Table tag,List tag,Textbox tag,Widget class,Number of Elements,Number of Child Nodes,numberOfWordsTextNodes,numberOfTextNodes,links80percent,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,179,19,0,0,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,205,50,0,0,0,0,2,2,14,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,1190,38,0,0,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,1158,38,0,0,0,0,0,0,10,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,8,13,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,14,13,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,2,40,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,405,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,4,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,1903,57,0,0,0,0,0,0,34,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,1903,38,0,0,0,0,0,0,23,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,356,193,372,370,0,1,0,0,54,2,226,108,0,185.0,368.0,449.5,194.0,0.0,0.0,130.8147545195113,0.0,
002,357,194,185,368,0,1,0,0,40,1,162,81,0,147.0,334.0,375.0,208.0,0.0,0.0,0.0,0.0,
002,375,208,147,334,0,0,0,0,39,13,158,79,0,147.0,22.0,375.0,364.0,0.0,0.0,0.0,101.25545252808199,
002,375,208,147,22,0,0,0,0,2,1,11,5,0,147.0,22.0,375.0,208.0,0.0,0.0,0.0,0.0,
002,375,208,147,22,0,0,0,0,1,1,7,3,0,140.0,16.0,375.0,211.0,0.0,0.0,0.0,0.0,
002,375,211,140,16,0,0,0,0,0,0,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,375,234,147,22,0,0,0,0,2,1,10,5,0,147.0,22.0,375.0,234.0,0.0,0.0,0.0,0.0,
002,375,234,147,22,0,0,0,0,1,1,6,3,0,118.0,16.0,375.0,237.0,0.0,0.0,0.0,0.0,
002,375,237,118,16,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,375,260,147,22,0,0,0,0,2,1,10,5,0,147.0,22.0,375.0,260.0,0.0,0.0,0.0,0.0,
002,375,260,147,22,0,0,0,0,1,1,6,3,0,134.0,16.0,375.0,263.0,0.0,0.0,0.0,0.0,
002,375,263,134,16,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,375,286,147,22,0,0,0,0,2,1,10,5,0,147.0,22.0,375.0,286.0,0.0,0.0,0.0,0.0,
